time,noun_eventive_intransitive,noun_eventive_transitive,noun_noneventive_intransitive,noun_noneventive_transitive,verb_eventive_intransitive,verb_eventive_transitive,verb_noneventive_intransitive,verb_noneventive_transitive
-0.2,0.9673913379,0.9393069012,0.9265502035,1.1128091685,0.9058509331,0.9513817805,0.9680335065,0.9009490827
-0.195,0.8916434328,0.8738824756,0.9473023084,1.0695359778,0.9268054535,0.9061238199,0.9737092398,0.851903812
-0.19,0.8567242117,0.8328784975,0.932266431,1.0016138143,0.9782531966,0.8606759988,0.9615010072,0.8253274923
-0.185,0.8245083131,0.8115719768,0.89388701,0.8986803709,0.9316432924,0.7892550228,0.8903518858,0.8660283667
-0.18,0.8000747854,0.8666670878,0.8610618756,0.8006265006,0.9021814668,0.7851247155,0.8875962762,0.8825149878
-0.175,0.8311886334,0.9393170994,0.8572036974,0.7965292973,0.9231253788,0.8048113133,0.929561176,0.9076474461
-0.17,0.8254946607,0.9454030658,0.8529402868,0.8569714194,0.9285539162,0.7733566075,0.9267055984,0.8796688654
-0.165,0.7691918279,0.8793541618,0.8327723165,0.8586271922,0.8539299195,0.7955408872,0.8426304437,0.8785305284
-0.16,0.7665571353,0.8013428995,0.9099686407,0.7764805477,0.7847935716,0.7946528768,0.7515836004,0.9025981926
-0.155,0.8678534439,0.7865457062,0.9762382039,0.749229373,0.731599061,0.7375391487,0.7532058729,0.8592723228
-0.15,0.8906895493,0.8063019557,0.9121255642,0.807919837,0.7156884416,0.7462619268,0.8815017945,0.7825236233
-0.145,0.8154272519,0.8224462128,0.8134972888,0.8323670987,0.7222677154,0.8314540336,0.9109824257,0.7648430744
-0.14,0.8084763423,0.7786685317,0.8292641142,0.8260168725,0.7310783095,0.8750169818,0.8705346206,0.7501639776
-0.135,0.8589951386,0.7291759119,0.890435442,0.8240575686,0.8122111366,0.8680174426,0.8612212949,0.8227527289
-0.13,0.8965273841,0.7407593685,0.8691794843,0.8102575674,0.8881099807,0.868530019,0.8136258419,0.8831225987
-0.125,0.8703449267,0.7463128077,0.7721946544,0.7410218813,0.8577649396,0.8613900818,0.8013103699,0.8830149997
-0.12,0.7880546785,0.7301244663,0.7469280178,0.7008592483,0.760272999,0.8104127817,0.8850191983,0.8292357826
-0.115,0.7229345662,0.718034141,0.8025838305,0.7247868037,0.7250473931,0.7623266421,0.8873510323,0.7496048321
-0.11,0.6974686267,0.7647332616,0.8428908758,0.8110383179,0.7607052571,0.8406360105,0.7803139754,0.7637164814
-0.105,0.7018132303,0.8106990711,0.8382289308,0.8225779523,0.8052732142,0.8946551725,0.7411537092,0.8331052962
-0.1,0.7481574389,0.8158526133,0.807309246,0.7994424439,0.8061772076,0.8548862651,0.7595421564,0.7909580497
-0.095,0.8005699633,0.7869708838,0.7551352096,0.7786750602,0.8176390457,0.8486427813,0.7767619978,0.7296496603
-0.09,0.8242088046,0.7917806347,0.7526919099,0.7936420171,0.8077432078,0.863064228,0.7609868086,0.7841343579
-0.085,0.7642274016,0.7807460934,0.7517721099,0.8278303632,0.7617422115,0.8161789258,0.7225330604,0.8346773981
-0.08,0.761214184,0.7394342993,0.7169388723,0.8243328514,0.7647555626,0.7615081204,0.7332012098,0.8488173715
-0.075,0.795702895,0.7072957218,0.7087753945,0.7775369277,0.8333542598,0.778320824,0.7895865936,0.8701285365
-0.07,0.8045599022,0.6841624718,0.7544261951,0.7536573181,0.8357953289,0.8839946628,0.8121736516,0.8585256024
-0.065,0.7984305301,0.7020523824,0.8299229538,0.7857109813,0.7826037429,0.9988290298,0.7690942878,0.8407987908
-0.06,0.8166279089,0.7579730553,0.859939964,0.8637789922,0.7649709526,0.9469557742,0.7130175166,0.8709052721
-0.055,0.8574063908,0.8632833962,0.8515090385,0.862130051,0.8110589672,0.8168894313,0.8230104274,0.8676839245
-0.05,0.8628987025,0.8875181199,0.8463663786,0.8101651584,0.8442686942,0.8171143617,0.8983880434,0.8642206507
-0.045,0.8508428757,0.8981820824,0.8366422782,0.8178499245,0.8407218154,0.8150251284,0.8846006444,0.8728528125
-0.04,0.907099023,0.8649869976,0.818050225,0.8691640716,0.8969036765,0.7637770079,0.8733428835,0.889783443
